Core,Species,Sp_code,Tree,Repeat,Date_collected,Section,Fresh_Mass,Length_p,Length_d,Notes,Stored,Dry_Mass
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,31,0.138,300,310,,Stored,0.0999
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,32,0.1619,310,320,,Stored,0.1176
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,33,0.1864,320,329,"9.64,8.9",Stored,0.0972
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,1,0.2255,0,8,"7.09,9.58",Stored,0.085
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,2,0.1905,8,18,,Stored,0.1178
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,3,0.1914,18,28,,Stored,0.1125
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,4,0.1822,28,38,,Stored,0.1174
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,5,0.1973,38,48,,Stored,0.1263
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,6,0.1817,48,58,,Stored,0.114
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,7,0.184,58,68,,Stored,0.1182
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,8,0.1809,68,78,,Stored,0.1152
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,9,0.1718,78,88,,Stored,0.1095
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,10,0.171,88,98,,Stored,0.1073
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,11,0.1837,98,108,,Stored,0.1164
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,12,0.1632,108,118,,Stored,0.1004
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,13,0.1642,118,128,,Stored,0.1009
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,14,0.1622,128,138,,Stored,0.0995
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,15,0.1482,138,148,,Stored,0.0846
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,16,0.1995,148,158,"appears to be in transition, possible pith",Stored,0.0949
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,17,0.2206,158,168,,Stored,0.0859
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,18,0.2259,168,178,,Stored,0.0816
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,19,0.2241,178,188,,Stored,0.0868
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,20,0.2239,188,198,,Stored,0.0777
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,21,0.1859,198,208,"appears to be in transition, back out of pith",Stored,0.0839
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,22,0.1544,208,218,,Stored,0.0827
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,23,0.1579,218,228,,Stored,0.087
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,24,0.1568,228,238,,Stored,0.0938
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,25,0.1545,238,248,,Stored,0.0922
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,26,0.1611,248,258,,Stored,0.102
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,27,0.1775,258,268,,Stored,0.1131
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,28,0.1649,268,278,,Stored,0.1053
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,29,0.1771,278,288,,Stored,0.1114
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,30,0.1851,288,298,,Stored,0.1186
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,31,0.1829,298,308,,Stored,0.1171
